item-db-1  | 2024-12-17T02:50:21.715197028Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=ec68690abc4e
item-db-1  | 2024-12-17T02:50:21.715261674Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db-1  | 2024-12-17T02:50:21.715269465Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db-1  | 2024-12-17T02:50:21.715275190Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db-1  | 2024-12-17T02:50:21.715281076Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db-1  | 2024-12-17T02:50:21.715286493Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] modules: none
item-db-1  | 2024-12-17T02:50:21.715292479Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] build environment:
item-db-1  | 2024-12-17T02:50:21.715297937Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db-1  | 2024-12-17T02:50:21.715303469Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db-1  | 2024-12-17T02:50:21.715308868Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db-1  | 2024-12-17T02:50:21.715314385Z 2024-12-17T02:50:21.714+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db-1  | 2024-12-17T02:50:21.719756796Z 2024-12-17T02:50:21.719+0000 I STORAGE  [initandlisten] 
item-db-1  | 2024-12-17T02:50:21.719833809Z 2024-12-17T02:50:21.719+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db-1  | 2024-12-17T02:50:21.719845833Z 2024-12-17T02:50:21.719+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db-1  | 2024-12-17T02:50:21.721564445Z 2024-12-17T02:50:21.721+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3377M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db-1  | 2024-12-17T02:50:24.124362299Z 2024-12-17T02:50:24.124+0000 I STORAGE  [initandlisten] WiredTiger message [1734403824:124005][1:0x7f626cc52a40], txn-recover: Set global recovery timestamp: 0
item-db-1  | 2024-12-17T02:50:24.280270440Z 2024-12-17T02:50:24.279+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-12-17T02:50:24.280299799Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db-1  | 2024-12-17T02:50:24.280304764Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db-1  | 2024-12-17T02:50:24.280308537Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-12-17T02:50:24.280927928Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] 
item-db-1  | 2024-12-17T02:50:24.280966460Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db-1  | 2024-12-17T02:50:24.280974228Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db-1  | 2024-12-17T02:50:24.281103080Z 2024-12-17T02:50:24.280+0000 I CONTROL  [initandlisten] 
